2025-02-24 21:39:56,221 - CRITICAL - Invalid move 'invalid_move' for game 3214, turn W1. 
2025-02-24 21:39:56,222 - CRITICAL - Invalid move 'invalid_move' for game 3215, turn W1. 
2025-02-24 21:39:56,224 - CRITICAL - Invalid move 'invalid_move' for game 8202, turn W1. 
2025-02-24 21:39:56,226 - CRITICAL - Invalid move 'invalid_move' for game 9429, turn W1. 
2025-02-24 21:39:56,226 - CRITICAL - Invalid move 'invalid_move' for game 1957, turn W1. 
2025-02-24 21:39:56,235 - CRITICAL - Invalid move 'invalid_move' for game 5082, turn W1. 
2025-02-24 21:39:56,240 - CRITICAL - Invalid move 'invalid_move' for game 2587, turn W1. 
2025-02-24 21:39:56,242 - CRITICAL - Invalid move 'invalid_move' for game 7585, turn W1. 
2025-02-24 21:39:56,246 - CRITICAL - Invalid move 'invalid_move' for game 9434, turn W1. 
2025-02-24 21:39:56,247 - CRITICAL - Invalid move 'invalid_move' for game 88, turn W1. 
2025-02-24 21:39:56,247 - CRITICAL - Invalid move 'invalid_move' for game 719, turn W1. 
2025-02-24 21:39:56,251 - CRITICAL - Invalid move 'invalid_move' for game 7588, turn W1. 
2025-02-24 21:39:56,253 - CRITICAL - Invalid move 'invalid_move' for game 3831, turn W1. 
2025-02-24 21:39:56,255 - CRITICAL - Invalid move 'invalid_move' for game 1964, turn W1. 
2025-02-24 21:39:56,260 - CRITICAL - Invalid move 'invalid_move' for game 8211, turn W1. 
2025-02-24 21:39:56,260 - CRITICAL - Invalid move 'invalid_move' for game 4466, turn W1. 
2025-02-24 21:39:56,261 - CRITICAL - Invalid move 'invalid_move' for game 6338, turn W1. 
2025-02-24 21:39:56,261 - CRITICAL - Invalid move 'invalid_move' for game 4467, turn W1. 
2025-02-24 21:39:56,262 - CRITICAL - Invalid move 'invalid_move' for game 92, turn W1. 
2025-02-24 21:39:56,263 - CRITICAL - Invalid move 'invalid_move' for game 5089, turn W1. 
2025-02-24 21:39:56,266 - CRITICAL - Invalid move 'invalid_move' for game 724, turn W1. 
2025-02-24 21:39:56,266 - CRITICAL - Invalid move 'invalid_move' for game 6964, turn W1. 
2025-02-24 21:39:56,266 - CRITICAL - Invalid move 'invalid_move' for game 6340, turn W1. 
2025-02-24 21:39:56,273 - CRITICAL - Invalid move 'invalid_move' for game 5699, turn W1. 
2025-02-24 21:39:56,278 - CRITICAL - Invalid move 'invalid_move' for game 96, turn W1. 
2025-02-24 21:39:56,279 - CRITICAL - Invalid move 'invalid_move' for game 8840, turn W1. 
2025-02-24 21:39:56,279 - CRITICAL - Invalid move 'invalid_move' for game 8216, turn W1. 
2025-02-24 21:39:56,283 - CRITICAL - Invalid move 'invalid_move' for game 1349, turn W1. 
2025-02-24 21:39:56,284 - CRITICAL - Invalid move 'invalid_move' for game 6345, turn W1. 
2025-02-24 21:39:56,287 - CRITICAL - Invalid move 'invalid_move' for game 5095, turn W1. 
2025-02-24 21:39:56,288 - CRITICAL - Invalid move 'invalid_move' for game 1351, turn W1. 
2025-02-24 21:39:56,288 - CRITICAL - Invalid move 'invalid_move' for game 9444, turn W1. 
2025-02-24 21:39:56,288 - CRITICAL - Invalid move 'invalid_move' for game 7597, turn W1. 
2025-02-24 21:39:56,289 - CRITICAL - Invalid move 'invalid_move' for game 730, turn W1. 
2025-02-24 21:39:56,296 - CRITICAL - Invalid move 'invalid_move' for game 1353, turn W1. 
2025-02-24 21:39:56,298 - CRITICAL - Invalid move 'invalid_move' for game 733, turn W1. 
2025-02-24 21:39:56,302 - CRITICAL - Invalid move 'invalid_move' for game 1355, turn W1. 
2025-02-24 21:39:56,308 - CRITICAL - Invalid move 'invalid_move' for game 4477, turn W1. 
2025-02-24 21:39:56,311 - CRITICAL - Invalid move 'invalid_move' for game 6352, turn W1. 
2025-02-24 21:39:56,314 - CRITICAL - Invalid move 'invalid_move' for game 3235, turn W1. 
2025-02-24 21:39:56,315 - CRITICAL - Invalid move 'invalid_move' for game 8849, turn W1. 
2025-02-24 21:39:56,316 - CRITICAL - Invalid move 'invalid_move' for game 9450, turn W1. 
2025-02-24 21:39:56,316 - CRITICAL - Invalid move 'invalid_move' for game 8850, turn W1. 
2025-02-24 21:39:56,317 - CRITICAL - Invalid move 'invalid_move' for game 8851, turn W1. 
2025-02-24 21:39:56,318 - CRITICAL - Invalid move 'invalid_move' for game 5102, turn W1. 
2025-02-24 21:39:56,319 - CRITICAL - Invalid move 'invalid_move' for game 3237, turn W1. 
2025-02-24 21:39:56,320 - CRITICAL - Invalid move 'invalid_move' for game 3238, turn W1. 
2025-02-24 21:39:56,327 - CRITICAL - Invalid move 'invalid_move' for game 108, turn W1. 
2025-02-24 21:39:56,329 - CRITICAL - Invalid move 'invalid_move' for game 7607, turn W1. 
2025-02-24 21:39:56,330 - CRITICAL - Invalid move 'invalid_move' for game 9454, turn W1. 
2025-02-24 21:39:56,335 - CRITICAL - Invalid move 'invalid_move' for game 9456, turn W1. 
2025-02-24 21:39:56,342 - CRITICAL - Invalid move 'invalid_move' for game 8231, turn W1. 
2025-02-24 21:39:56,347 - CRITICAL - Invalid move 'invalid_move' for game 8233, turn W1. 
2025-02-24 21:39:56,348 - CRITICAL - Invalid move 'invalid_move' for game 1366, turn W1. 
2025-02-24 21:39:56,351 - CRITICAL - Invalid move 'invalid_move' for game 4487, turn W1. 
2025-02-24 21:39:56,354 - CRITICAL - Invalid move 'invalid_move' for game 6363, turn W1. 
2025-02-24 21:39:56,355 - CRITICAL - Invalid move 'invalid_move' for game 1987, turn W1. 
2025-02-24 21:39:56,357 - CRITICAL - Invalid move 'invalid_move' for game 8861, turn W1. 
2025-02-24 21:39:56,362 - CRITICAL - Invalid move 'invalid_move' for game 4490, turn W1. 
2025-02-24 21:39:56,363 - CRITICAL - Invalid move 'invalid_move' for game 8863, turn W1. 
2025-02-24 21:39:56,366 - CRITICAL - Invalid move 'invalid_move' for game 5718, turn W1. 
2025-02-24 21:39:56,369 - CRITICAL - Invalid move 'invalid_move' for game 750, turn W1. 
2025-02-24 21:39:56,370 - CRITICAL - Invalid move 'invalid_move' for game 7617, turn W1. 
2025-02-24 21:39:56,375 - CRITICAL - Invalid move 'invalid_move' for game 6989, turn W1. 
2025-02-24 21:39:56,379 - CRITICAL - Invalid move 'invalid_move' for game 753, turn W1. 
2025-02-24 21:39:56,395 - CRITICAL - Invalid move 'invalid_move' for game 2619, turn W1. 
2025-02-24 21:39:56,400 - CRITICAL - Invalid move 'invalid_move' for game 8872, turn W1. 
2025-02-24 21:39:56,407 - CRITICAL - Invalid move 'invalid_move' for game 5728, turn W1. 
2025-02-24 21:39:56,408 - CRITICAL - Invalid move 'invalid_move' for game 6376, turn W1. 
2025-02-24 21:39:56,410 - CRITICAL - Invalid move 'invalid_move' for game 2000, turn W1. 
2025-02-24 21:39:56,411 - CRITICAL - Invalid move 'invalid_move' for game 9473, turn W1. 
2025-02-24 21:39:56,418 - CRITICAL - Invalid move 'invalid_move' for game 6379, turn W1. 
2025-02-24 21:39:56,423 - CRITICAL - Invalid move 'invalid_move' for game 128, turn W1. 
2025-02-24 21:39:56,432 - CRITICAL - Invalid move 'invalid_move' for game 3869, turn W1. 
2025-02-24 21:39:56,432 - CRITICAL - Invalid move 'invalid_move' for game 8253, turn W1. 
2025-02-24 21:39:56,438 - CRITICAL - Invalid move 'invalid_move' for game 3871, turn W1. 
2025-02-24 21:39:56,443 - CRITICAL - Invalid move 'invalid_move' for game 8882, turn W1. 
2025-02-24 21:39:56,446 - CRITICAL - Invalid move 'invalid_move' for game 7006, turn W1. 
2025-02-24 21:39:56,451 - CRITICAL - Invalid move 'invalid_move' for game 135, turn W1. 
2025-02-24 21:39:56,451 - CRITICAL - Invalid move 'invalid_move' for game 770, turn W1. 
2025-02-24 21:39:56,453 - CRITICAL - Invalid move 'invalid_move' for game 8885, turn W1. 
2025-02-24 21:39:56,458 - CRITICAL - Invalid move 'invalid_move' for game 1391, turn W1. 
2025-02-24 21:39:56,459 - CRITICAL - Invalid move 'invalid_move' for game 8260, turn W1. 
2025-02-24 21:39:56,462 - CRITICAL - Invalid move 'invalid_move' for game 4513, turn W1. 
2025-02-24 21:39:56,475 - CRITICAL - Invalid move 'invalid_move' for game 2014, turn W1. 
2025-02-24 21:39:56,475 - CRITICAL - Invalid move 'invalid_move' for game 3880, turn W1. 
2025-02-24 21:39:56,480 - CRITICAL - Invalid move 'invalid_move' for game 5139, turn W1. 
2025-02-24 21:39:56,482 - CRITICAL - Invalid move 'invalid_move' for game 7015, turn W1. 
2025-02-24 21:39:56,484 - CRITICAL - Invalid move 'invalid_move' for game 2017, turn W1. 
2025-02-24 21:39:56,485 - CRITICAL - Invalid move 'invalid_move' for game 8893, turn W1. 
2025-02-24 21:39:56,485 - CRITICAL - Invalid move 'invalid_move' for game 9490, turn W1. 
2025-02-24 21:39:56,488 - CRITICAL - Invalid move 'invalid_move' for game 5746, turn W1. 
2025-02-24 21:39:56,493 - CRITICAL - Invalid move 'invalid_move' for game 1400, turn W1. 
2025-02-24 21:39:56,494 - CRITICAL - Invalid move 'invalid_move' for game 2020, turn W1. 
2025-02-24 21:39:56,500 - CRITICAL - Invalid move 'invalid_move' for game 782, turn W1. 
2025-02-24 21:39:56,504 - CRITICAL - Invalid move 'invalid_move' for game 4523, turn W1. 
2025-02-24 21:39:56,504 - CRITICAL - Invalid move 'invalid_move' for game 3279, turn W1. 
2025-02-24 21:39:56,506 - CRITICAL - Invalid move 'invalid_move' for game 784, turn W1. 
2025-02-24 21:39:56,512 - CRITICAL - Invalid move 'invalid_move' for game 8900, turn W1. 
2025-02-24 21:39:56,512 - CRITICAL - Invalid move 'invalid_move' for game 2025, turn W1. 
2025-02-24 21:39:56,517 - CRITICAL - Invalid move 'invalid_move' for game 9498, turn W1. 
2025-02-24 21:39:56,518 - CRITICAL - Invalid move 'invalid_move' for game 4527, turn W1. 
2025-02-24 21:39:56,524 - CRITICAL - Invalid move 'invalid_move' for game 6404, turn W1. 
2025-02-24 21:39:56,526 - CRITICAL - Invalid move 'invalid_move' for game 8276, turn W1. 
2025-02-24 21:39:56,527 - CRITICAL - Invalid move 'invalid_move' for game 9501, turn W1. 
2025-02-24 21:39:56,528 - CRITICAL - Invalid move 'invalid_move' for game 3285, turn W1. 
2025-02-24 21:39:56,528 - CRITICAL - Invalid move 'invalid_move' for game 3891, turn W1. 
2025-02-24 21:39:56,531 - CRITICAL - Invalid move 'invalid_move' for game 8905, turn W1. 
2025-02-24 21:39:56,536 - CRITICAL - Invalid move 'invalid_move' for game 791, turn W1. 
2025-02-24 21:39:56,537 - CRITICAL - Invalid move 'invalid_move' for game 9504, turn W1. 
2025-02-24 21:39:56,540 - CRITICAL - Invalid move 'invalid_move' for game 8280, turn W1. 
2025-02-24 21:39:56,540 - CRITICAL - Invalid move 'invalid_move' for game 5153, turn W1. 
2025-02-24 21:39:56,547 - CRITICAL - Invalid move 'invalid_move' for game 3290, turn W1. 
2025-02-24 21:39:56,550 - CRITICAL - Invalid move 'invalid_move' for game 8910, turn W1. 
2025-02-24 21:39:56,552 - CRITICAL - Invalid move 'invalid_move' for game 2033, turn W1. 
2025-02-24 21:39:56,554 - CRITICAL - Invalid move 'invalid_move' for game 8284, turn W1. 
2025-02-24 21:39:56,555 - CRITICAL - Invalid move 'invalid_move' for game 8912, turn W1. 
2025-02-24 21:39:56,556 - CRITICAL - Invalid move 'invalid_move' for game 1415, turn W1. 
2025-02-24 21:39:56,559 - CRITICAL - Invalid move 'invalid_move' for game 8286, turn W1. 
2025-02-24 21:39:56,561 - CRITICAL - Invalid move 'invalid_move' for game 2036, turn W1. 
